user_did,ap_did,ap_method,dp_did,dp_method,reputation_score
did:etho:0f7323a0364a11f5b3da7645669af54d64a55756,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:2765423f37020c505e21419b7c39811e63bd30cc,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,70
did:etho:68cc2687cfd72aba42f6f732434ea98a9f976cbf,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:b46eda1636689ac513cd8604d9a40f8e200901b3,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:863e3d86bdbe51c4b922e965ea70749fe4d9963a,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:3e1f1605222D41EbBF6d5f6699A0e38523818ea0,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:9a3b21d2212dcc6137da4a953700d21d5eb2c088,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:a56f088c5ff2b4c67e92fc1713517e01cfbf974e,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:364f4b2eee8920b6e476dfd4e531b6fd6bfc14cf,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:cc0d8f409b149b92c089b5a9177331338671501c,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:be13517a2b520b2449068d2ec45280992b04047b,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,270
did:etho:c1275ace129e485460bbe74785518fc98a061f33,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:f33fd427e695b63c81f238b5d8ea75aea31d15a4,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:bb96d92c7f873259a1e25e0103b1b54562178eea,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:0cdafc2fbd1eb267bd46a500a668ea4b7f264a23,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:3fe2e08a1f7766606574a91a5cfaf3342d023947,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:7927f89670f942169476b006966dd6eccdc7425c,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:caa7c47e4684af466293e10aec58eaf4e7b195b4,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:ba0043996faccec7eb1b511b4597ac282caedae5,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:568fe97846d84ed5da6c18c7a8711b92b5417d54,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:631563241c1b8988ba3922255b2fa3b5c231db8b,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:49d1978dce1a788a0e33ac59c004e5fee4093e95,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:e359a42935a053cc3891aec377aa35f2564eb30b,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:5623a122dbf37715bee2e164dcc930e3ee80e2fd,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:cf80ac8088d7c33a9ef53046d753a2fb217a340c,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:6febc32b23f5a9f110b2d9e6f4a7d1e6125ee206,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:0786a24145fef2c60a38237e8671332899ce7c1f,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:227812f11313682cee661f7bd1951c5321c712d6,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,140
did:etho:a0efd27acc781549d5b78e89e561aa0903932d56,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:e1b8988c4415db08c6cffa5cca7861ee99d59bde,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,150
did:etho:13a5e7bde7477616c953ac4d4a1a82f751053efb,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:25e0a64d77c66148784341bb98ad7927c02c7926,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:3dff9aae8fc6265181cc216a4ab88f1c0abea2cd,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:0895677afee1e85a3a42487ae2add53822e312e9,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:18138214e48aa957b995c9b97aa266c22fdd9bce,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:d28903242debeddd242cdc4a0f79515f843fed47,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:41cc4cb5ceda87d855758c5d680f435dcc3719d4,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:1ec1ccef3e1735bda3f4ba698e8a524aa7c93274,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:ffa17ef7e40430c19adcb15fa7e20b52c205dec6,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,100
did:etho:27ef8dcaf9b242dd7d285179e96513b7b79e2db7,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:48d97b71d5f67cf514fe901996f60686af1353d3,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,70
did:etho:53fa2ca889f41b24c0cb8f1371f3a636600778bb,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,50
did:etho:c81cb0c1d20953eac33db97bf961d33f988fcfea,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:5842af09d572028d2243f7f63314dfff9de07473,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,0
did:etho:03e2736ae6f4f42a8674129b538edc1488a292bf,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:7929ff721516111056b3b36259846f9b942400a9,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
did:etho:532744d3ee047210bde929fac52751739784ab42,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,150
did:etho:cb15649d7b7a1eb01fb1acd14809de6cf82aa1a0,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,200
did:etho:10f5cd5559583d3850fa0401552011731ed64bd3,did:ont:TalentDAO,calcTalentDAOActivity,did:ont:AS4qrHjNe2XPTtqyX7H6hEqwQawqRdzsBE,queryTalentDAOActivity,170
